,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,YFTicker,EPS
171,BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-08,10,1,INE917I01010,10,BAJAJ-AUTO.NS,167.9
172,BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-10,1,1,INE933K01021,1,BAJAJCON.NS,15.12
173,BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-07,2,1,INE193E01025,2,BAJAJELEC.NS,16.49
174,BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-08,5,1,INE918I01018,5,BAJAJFINSV.NS,280.9
175,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-95,1,1,INE306A01021,1,BAJAJHIND.NS,-2.64
176,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,10,1,INE118A01012,10,BAJAJHLDNG.NS,275.14
177,BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-03,2,1,INE296A01024,2,BAJFINANCE.NS,73
178,BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-00,2,1,INE794B01026,2,BALAJITELE.NS,-11.75
179,BALAMINES,Balaji Amines Limited,EQ,05-Apr-07,2,1,INE050E01027,2,BALAMINES.NS,73.52
180,BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,10,1,INE618N01014,10,BALAXI.NS,0
181,BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-Jul-15,10,1,INE875R01011,10,BALKRISHNA.NS,-24.07
182,BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-06,2,1,INE787D01026,2,BALKRISIND.NS,60.912
183,BALLARPUR,Ballarpur Industries Limited,BZ,31-Mar-08,2,1,INE294A01037,2,BALLARPUR.NS,-10.212
184,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-Jul-95,10,1,INE164A01016,10,BALMLAWRIE.NS,5.4
185,BALPHARMA,Bal Pharma Limited,EQ,08-May-06,10,1,INE083D01012,10,BALPHARMA.NS,-2.386
186,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-95,1,1,INE119A01028,1,BALRAMCHIN.NS,22.48
187,BANARBEADS,Banaras Beads Limited,EQ,07-Jul-95,10,1,INE655B01011,10,BANARBEADS.NS,3.61
188,BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-03,10,1,INE459A01010,10,BANARISUG.NS,73.48
189,BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-06,2,1,INE213C01025,2,BANCOINDIA.NS,15.768
190,BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,10,1,INE545U01014,10,BANDHANBNK.NS,13.69
191,BANG,Bang Overseas Limited,EQ,20-Feb-08,10,1,INE863I01016,10,BANG.NS,-0.87
192,BANKA,Banka BioLoo Limited,EQ,29-Oct-20,10,1,INE862Y01015,10,BANKA.NS,4.862
193,BANKBARODA,Bank of Baroda,EQ,19-Feb-97,2,1,INE028A01039,2,BANKBARODA.NS,3.319
194,BANKINDIA,Bank of India,EQ,30-Apr-97,10,1,INE084A01016,10,BANKINDIA.NS,6.35
195,BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-07,10,1,INE629D01012,10,BANSWRAS.NS,8.48
196,BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-Apr-21,5,1,INE382M01027,5,BARBEQUE.NS,-11.574
197,BARTRONICS,Bartronics India Limited,BZ,12-Jan-06,10,1,INE855F01034,10,BARTRONICS.NS,-25.231
198,BASF,BASF India Limited,EQ,17-May-95,10,1,INE373A01013,10,BASF.NS,127.668
199,BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-05,5,1,INE186H01022,5,BASML.NS,-3.3
200,BATAINDIA,Bata India Limited,EQ,18-Jun-03,5,1,INE176A01028,5,BATAINDIA.NS,-6.256
201,BAYERCROP,Bayer Cropscience Limited,EQ,08-Jan-10,10,1,INE462A01022,10,BAYERCROP.NS,102.959
202,BBL,Bharat Bijlee Limited,EQ,21-Nov-06,10,1,INE464A01028,10,BBL.NS,46.09
203,BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-Apr-96,2,1,INE050A01025,2,BBTC.NS,57.824
204,BCG,Brightcom Group Limited,EQ,08-May-15,2,1,INE425B01027,2,BCG.NS,9.02
205,BCLIND,Bcl Industries Limited,EQ,04-Mar-21,10,1,INE412G01016,10,BCLIND.NS,18.75
206,BCP,B.C. Power Controls Ltd,EQ,19-Aug-19,2,1,INE905P01028,2,BCP.NS,0.067
